,element number,,,,,,,,,model parameters used for each damage conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage coificient for each element,0.552106474,0,0,0,0,0,0,0,0,208.9063805,427.0848382,740.2630909,1153.549455,1571.937884,-0.019298062,0.040884712,-0.023114076,0.03990239,-0.027253036,0.031942335,-0.019355897,0.030151123,-0.032838156,-0.026252535,-0.010617064,-0.02216302,-0.009047961,-0.034282455,-0.0444058,-0.038825376,-0.042693651,-0.027591351,-0.001311267,-0.066330497,-0.021441133,-0.050905124,-0.000532069,0.044410174,-0.014681165,0.047743518,-0.021904052,-0.063934444,-0.013076228,0.042429913,-0.004385006,-0.042155638,-0.00799495,0.059843538,0.022446944,-0.017608707,0.053422376,0.001274664,0.049635858,0.002631669,-0.006570309,-0.01598026,-0.015624227,0.017546768,-0.080589169
,0,0.091404497,0,0,0,0,0,0,0,239.5879029,462.3616293,725.9009684,1239.724714,1630.097766,-0.010518026,0.043016616,-0.019806945,0.041636833,-0.020476213,0.038385316,-0.014102527,0.035942168,-0.028099974,-0.019977985,-0.004419183,-0.029349614,-0.003345639,-0.036194966,-0.037156781,-0.04569689,-0.03689146,-0.033666189,0.000135606,-0.065160046,-0.022298602,-0.050668333,0.001092204,0.046036994,-0.014044276,0.048757046,-0.020358321,-0.047699515,-0.013972156,0.04547863,-0.0029064,-0.050551736,-0.012692677,0.055790995,0.02496596,-0.036146104,0.05296513,0.00348992,0.04823042,0.001438998,0.011619003,-0.010441573,-0.034232897,0.011982719,-0.073638948
,0,0,0.706385852,0,0,0,0,0,0,239.3727307,467.7143664,669.1716148,1196.053285,1356.476685,-0.010532474,0.045537118,-0.020164238,0.040655451,-0.020503865,0.037713191,-0.014516509,0.035266025,-0.028087493,0.020167429,0.005995558,0.02825202,0.001762722,0.036474851,0.038075523,0.045204261,0.03769386,0.033552214,-0.002156002,-0.084982393,-0.018552637,-0.031412998,-0.002965109,0.043508241,-0.011161528,0.046118635,-0.020891894,-0.038285429,-0.04201883,0.041182097,0.041840092,-0.043198691,-0.019534552,0.050395162,0.007291029,-0.020558203,0.028952094,-0.05543294,-0.022348726,0.070136456,0.025545228,-0.00297159,-0.02783901,-0.030477408,0.03287048
,0,0,0,0.712224661,0,0,0,0,0,190.708731,425.3635209,740.3100748,1243.488956,1495.978689,-0.007131421,0.04096078,-0.024641365,0.040146678,-0.030742655,0.029752425,-0.021662522,0.028264145,-0.035392651,-0.009466443,-0.011229952,-0.022512551,-0.009593082,-0.035488849,-0.046285997,-0.039816476,-0.04441225,-0.028340182,-0.001195477,-0.066170923,-0.021893074,-0.050778136,-0.000638689,0.044240199,-0.015344077,0.047462399,-0.022217152,-0.044071215,-0.012766643,0.046042646,-0.002414644,-0.051406594,-0.013257096,0.057520608,0.02498146,-0.036023689,0.092510901,-0.00087063,0.032859294,0.001582247,-0.011154052,-0.010360468,-0.008240363,0.012460417,-0.054994655
,0,0,0,0,0.869971428,0,0,0,0,234.5331049,300.0916101,564.6150733,1051.546998,1621.112433,-0.010551908,0.051020639,-0.028346358,0.049558317,-0.020529099,0.020878586,-0.024062719,0.018511377,-0.027083743,0.000617271,-0.020496047,0.023894723,-0.020056609,0.00102397,0.065609343,0.031994658,0.065138101,-0.004913755,0.022637534,0.048411361,0.018009093,0.041203462,0.039356812,-0.009137482,0.030774545,-0.011800388,0.045703639,-0.040028906,0.021052539,0.055930456,0.012404631,-0.05326756,-0.025463845,0.045591812,-0.007444437,-0.026871805,0.057116077,0.011703983,0.046126993,-0.000257612,0.01435839,-0.006196703,-0.041647655,0.002342592,-0.066500359
,0,0,0,0,0,0.980633042,0,0,0,90.14548893,323.7031063,726.4155503,1021.577806,1264.472315,0.000788046,-0.028853723,0.019903912,-0.028704628,0.001558383,-0.053501953,-0.035692589,-0.053234865,0.002446234,-0.018844965,0.029375274,-0.018809929,0.027938792,-0.036003606,-0.007880863,-0.059864963,-0.010610966,-0.043616421,0.006544913,0.066991627,0.0338878,0.051545587,0.009190377,-0.034226164,0.009310865,-0.038544516,0.023672263,-0.031627443,0.003668567,-0.048512955,0.004215026,-0.036312885,-0.030008681,0.070329679,-0.02070699,0.013017434,0.03718555,0.012150228,-0.066312523,0.002456153,0.041519288,0.008567328,-0.033102047,-0.028955356,0.047058304
,0,0,0,0,0,0,0.321164467,0,0,240.0261112,468.226798,739.7083679,1193.801767,1617.098113,-0.010611172,0.042581547,-0.020636486,0.041207283,-0.020652551,0.038763133,-0.014957498,0.035123876,-0.028309411,0.02004054,0.002997982,0.027800636,0.002012693,0.036241743,0.039252389,0.044947364,0.038684122,0.033023109,-0.001197766,-0.066119199,-0.021409383,-0.050733151,-0.001039149,0.043496566,-0.01470768,0.048704792,-0.022630069,-0.04255925,-0.009071177,0.044217556,-0.000770152,-0.047990368,-0.023729843,0.054474574,0.036511338,-0.0370159,0.058652955,0.007806582,0.039555804,0.002890675,0.016402131,-0.02115665,-0.036224164,0.02342938,-0.067939319
,0,0,0,0,0,0,0,0.788371884,0,196.1489701,464.0797342,645.9579492,1168.639984,1316.349426,-0.006780135,0.036317174,-0.020043402,0.035501938,-0.013296022,0.043553347,-0.016197093,0.041958112,-0.038771729,-0.022071768,0.004011804,-0.027829293,0.004257177,-0.040034101,-0.039771328,-0.043291809,-0.040037456,-0.02794276,0.007733623,-0.065399335,-0.017360523,-0.053349892,0.013584945,0.031843465,-0.02339391,0.036420454,-0.045099771,0.055677374,0.027679873,-0.006585774,0.011564396,0.059746777,-0.010594242,-0.049548272,-0.027688822,-0.029921943,-0.004194725,0.005516925,0.061810693,0.004399142,-0.010676538,-0.025424832,0.024134961,0.013772906,-0.090196594
,0,0,0,0,0,0,0,0,0.734453341,192.1478468,435.002166,687.4724608,1089.341646,1615.548546,0.006113128,-0.037214144,0.020559652,-0.036405145,0.011990405,-0.047148853,0.016553555,-0.045569543,0.016998525,-0.023036168,0.012187365,-0.024221574,0.01161848,-0.042364122,-0.037446757,-0.035540996,-0.038339463,-0.042992248,-0.000748403,0.065517515,0.030652766,0.051931351,-0.002315863,-0.033096344,0.036018493,-0.035982093,0.009156243,-0.034572915,-0.022924057,0.038118836,-0.010998478,-0.043656787,0.006310059,0.063763272,0.03020362,-0.058211108,-0.061948998,-0.005065161,-0.038024514,-0.000111655,-0.018088339,0.003765094,0.032130962,-0.005412375,0.076459259
